ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
HND;Honduras;0;2010;4,8;4249,11;4336,83;31885000000;21,5559;16,5366;25,5871;18,637;1752711199;4497451028;2962246315;3974604472;4889474522;2962246315;5924492630;9386925550;5727315671;8,3545;8,3749;69,7971;70,1389;0,1858;0,0929;0,0929
HUN;Hungary;1;2010;11,251;22030,68;22485,46;2,21E+11;20,2433;18,2207;25,326;30,704;7935228000;79110753000;78099477000;14911489000;64092247000;78099477000;1,56E+11;1,43E+11;22846717000;10,0002;10,0206;100,0038;100,4129;0,708;0,354;0,354
ISL;Iceland;1;2010;7,558;38594,03;39390,72;12290000000;13,9361;12,8664;21,8545;18,442;222529516;4258396302;673227635;921579055;2966779542;673227635;1346455270;7225175844;1144108571;10,5609;10,5813;111,5316;111,9636;0,1096;0,0548;0,0548
IND;India;0;2010;;4424,58;4515,92;5,31E+18;33,4139;16,2068;30,0827;21,809;1,35E+11;82447431359;1,15E+11;2,35E+11;1,08E+11;1,15E+11;2,30E+11;1,91E+11;3,70E+11;8,3949;8,4154;70,4749;70,8184;0,0433;0,0216;0,0216
IDN;Indonesia;0;2010;7,14;8432,7;8606,78;2,00E+18;30,9994;22,0386;42,7759;18,664;93551266320;63058251316;58393883982;93817071281;39550107053;58393883982;1,17E+11;1,03E+11;1,87E+11;9,0399;9,0603;81,7193;82,0891;0,0583;0,0291;0,0291
IRQ;Iraq;0;2010;;12380,02;12635,58;3,83E+11;16,2019;2,2699;55,7935;18,676;24929713326;27551783054;138196885;31444370298;11535454857;138196885;276393770;39087237911;56374083624;9,4238;9,4443;88,8087;89,1943;0,0007;0,0004;0,0004
IRL;Ireland;1;2010;14,608;43291,16;44184,82;1,98E+11;17,5569;19,5473;23,6234;19,545;11348385693;1,07E+11;1,02E+11;7768573057;56633147216;1,02E+11;2,04E+11;1,63E+11;19116958750;10,6757;10,6961;113,9707;114,4073;1,0304;0,5152;0,5152
ISR;Israel;1;2010;8,25;28997,4;29595,99;2,21E+11;18,8858;13,8193;20,4195;20,219;17965649000;36970403000;38191127000;18444769175;37498962117;38191127000;76382254000;74469365117;36410418175;10,275;10,2954;105,5748;105,9951;0,3456;0,1728;0,1728
ITA;Italy;1;2010;8,333;34767,34;35485,05;2,08E+18;19,9438;14,2273;21,9248;28,608;99154343209;3,22E+11;3,65E+11;1,40E+11;3,09E+11;3,65E+11;7,30E+11;6,32E+11;2,39E+11;10,4564;10,4769;109,337;109,7647;0,3516;0,1758;0,1758
JAM;Jamaica;0;2010;12,375;8074,87;8241,56;22137000000;19,902;7,7411;17,9776;15,918;159168121;1109505633;157265679;2582264502;2548217195;157265679;314531358;3657722828;2741432623;8,9965;9,0169;80,9372;81,3053;0,0142;0,0071;0,0071
JPN;Japan;1;2010;5,058;35157,27;35883,02;4,49E+18;21,3297;20,833;28,4446;25,686;5,15E+11;2,45E+11;6,80E+11;4,73E+11;2,04E+11;6,80E+11;1,36E+12;4,50E+11;9,88E+11;10,4676;10,488;109,5704;109,9986;0,3031;0,1516;0,1516
KAZ;Kazakhstan;0;2010;5,783;19530,31;19933,48;3,21E+11;24,3273;11,3213;40,6024;18,716;14008462553;37190859131;6688050324;10323718845;10390700159;6688050324;13376100648;47581559290;24332181398;9,8797;9,9002;97,6089;98,0131;0,0417;0,0208;0,0208
KEN;Kenya;0;2010;;2605,35;2659,13;1,00E+11;20,3717;11,2553;18,5495;15,299;3131944596;1868663493;1629389866;8421395974;3457608637;1629389866;3258779732;5326272130;11553340570;7,8653;7,8858;61,8633;62,1851;0,0325;0,0162;0,0162
KWT;Kuwait;0;2010;2,072;60946,55;62204,67;2,18E+11;;5,9778;66,0656;25,683;43345257706;19327900325;6189043986;10984516833;11557199415;6189043986;12378087972;30885099740;54329774539;11,0178;11,0382;121,3909;121,8415;0,0567;0,0283;0,0283
LVA;Latvia;1;2010;19,467;17856,42;18225,03;37865000000;19,3908;12,0215;20,7915;23,074;644153568;6836257065;5095984230;537619111;8758402230;5095984230;10191968460;15594659295;1181772679;9,7901;9,8106;95,8464;96,2469;0,2692;0,1346;0,1346
LBN;Lebanon;0;2010;;16104,34;16436,79;69910000000;25,2082;7,6111;14,0735;19,199;3603188428;1343830561;2861736520;6761359533;9858592991;2861736520;5723473040;11202423552;10364547961;9,6868;9,7073;93,8349;94,2312;0,0819;0,0409;0,0409
LBY;Libya;0;2010;;31094,03;31735,91;1,88E+11;;;;31,639;7691908671;40800203488;1239798095;8157465008;8917898947;1239798095;2479596190;49718102435;15849373679;10,3448;10,3652;107,0143;107,4375;0,0132;0,0066;0,0066
LTU;Lithuania;1;2010;17,814;20551,71;20975,96;63654000000;16,863;16,8866;26,1435;24,56;787079736;14387120940;11231537709;1280990637;13693663327;11231537709;22463075418;28080784267;2068070373;9,9307;9,9511;98,6188;99,025;0,3529;0,1764;0,1764
MEX;Mexico;0;2010;5,272;15810,96;16137,35;1,81E+17;21,5827;15,5617;32,3619;24,128;30175885455;2,68E+11;2,22E+11;95132374031;2,05E+11;2,22E+11;4,45E+11;4,73E+11;1,25E+11;9,6685;9,6889;93,4791;93,8746;0,2461;0,1231;0,1231
MNE;Montenegro;0;2010;;13565,79;13845,83;8403000000;21,6423;4,5528;17,1484;18,998;11016810;254223875;99381721;259477585;1005772002;99381721;198763442;1259995877;270494395;9,5153;9,5357;90,5411;90,9303;0,0237;0,0118;0,0118
MAR;Morocco;0;2010;9,063;6451,8;6584,99;2,08E+11;30,6562;15,5909;25,6574;21,962;5339277659;11922260687;10977424145;12677403892;21031101722;10977424145;21954848290;32953362409;18016681551;8,7721;8,7925;76,95;77,3089;0,1057;0,0529;0,0529
MOZ;Mozambique;0;2010;;8955,01;9139,87;21780000000;17,8631;10,4699;17,5502;3,439;1070122955;1899142367;121235704;3198064260;1383161383;121235704;242471408;3282303750;4268187215;6,7974;6,8178;46,2044;46,4826;0,0111;0,0056;0,0056
MMR;Myanmar;0;2010;4;3678,78;3754,73;1,83E+11;22,9156;19,8621;26,4681;14,984;7266751715;315879101;418629464;4385862341;329155908;418629464;837258928;645035009;11652614056;8,2103;8,2308;67,4096;67,7456;0,0046;0,0023;0,0023
NAM;Namibia;0;2010;;8641,09;8819,46;18015000000;25,2838;12,4775;27,9176;12,668;1948721685;2073319973;1041362491;5143375678;816662886;1041362491;2082724982;2889982859;7092097363;9,0643;9,0847;82,1612;82,5321;0,1156;0,0578;0,0578
NLD;Netherlands;1;2010;4,995;44839,46;45765,08;7,45E+11;19,7382;10,6133;19,9014;17,632;70335419840;4,90E+11;3,17E+11;1,47E+11;3,26E+11;3,17E+11;6,34E+11;8,16E+11;2,17E+11;10,7108;10,7313;114,7222;115,1603;0,8505;0,4252;0,4252
NZL;NewZealand;1;2010;6,15;31258,42;31903,68;1,37E+11;19,6585;10,8389;19,135;20,962;14040445999;16059807752;7091549955;13804186781;15942810252;7091549955;14183099910;32002618004;27844632780;10,35;10,3705;107,1234;107,5468;0,1037;0,0519;0,0519
NIC;Nicaragua;0;2010;8;3947,23;4028,71;22648000000;21,1737;14,2653;21,9687;16,472;1029671546;2199861437;1024785991;3252714356;1516389963;1024785991;2049571982;3716251400;4282385902;8,2808;8,3012;68,5711;68,9099;0,0905;0,0452;0,0452
NGA;Nigeria;0;2010;5,092;5127,72;5233,57;8,00E+11;16,5552;6,4516;24,9263;14,146;35343638993;50997579551;2426470746;21311182724;22347566470;2426470746;4852941492;73345146021;56654821717;8,5424;8,5628;72,9729;73,3224;0,0061;0,003;0,003
NOR;Norway;1;2010;3,584;61601,58;62873,22;3,02E+11;20,7266;7,1859;34,738;19,696;11464678286;1,18E+11;24271738925;16151808483;58762535903;24271738925;48543477850;1,76E+11;27616486769;11,0284;11,0489;121,6266;122,0777;0,1606;0,0803;0,0803
PAK;Pakistan;0;2010;5,55;4133,17;4218,49;7,10E+11;14,2046;13,0749;19,7195;21,418;11690128049;9487776450;15938528298;28219371653;8891228147;15938528298;31877056596;18379004597;39909499702;8,3268;8,3472;69,3356;69,6763;0,0449;0,0225;0,0225
PAN;Panama;0;2010;6,516;15670,45;15993,94;57383000000;29,6132;7,0968;19,209;18,704;7995057908;2948653594;8291293505;9365035619;7335782188;8291293505;16582587010;10284435782;17360093527;9,6595;9,68;93,3066;93,7017;0,289;0,1445;0,1445
PRY;Paraguay;0;2010;5,674;7078,25;7224,37;44351000000;15,8525;11,1809;27,2255;19,195;4355306402;1654752790;553245735;8562809342;1460904019;553245735;1106491470;3115656809;12918115744;8,8648;8,8852;78,5844;78,9471;0,0249;0,0125;0,0125
PER;Peru;0;2010;7,88;9516,31;9712,75;2,81E+11;23,5134;15,5565;35,772;16,855;13634689703;21857409227;3837876783;18477885938;11232014317;3837876783;7675753566;33089423544;32112575641;9,1608;9,1812;83,9196;84,2943;0,0273;0,0136;0,0136
PHL;Philippines;0;2010;7,325;5550,36;5664,93;5,14E+11;20,5226;21,4448;32,5683;14,98;27733797237;23721892457;28981565186;37669318975;20308320328;28981565186;57963130372;44030212785;65403116212;8,6216;8,642;74,3323;74,685;0,1128;0,0564;0,0564
POL;Poland;1;2010;9,635;21083,87;21519,1;8,02E+11;20,2843;15,557;29,177;30,303;10223600360;1,33E+11;1,24E+11;35732446222;1,16E+11;1,24E+11;2,48E+11;2,49E+11;45956046582;9,9563;9,9767;99,1272;99,5345;0,31;0,155;0,155
PRT;Portugal;1;2010;10,77;26496,47;27043,44;2,80E+11;20,529;11,5723;19,9077;27,255;7959629957;39861161097;36792153652;13034037190;62515088453;36792153652;73584307304;1,02E+11;20993667147;10,1848;10,2052;103,7295;104,1461;0,2627;0,1313;0,1313
ROU;Romania;0;2010;6,953;16470,8;16810,81;3,34E+11;26,0231;22,8819;37,48;28,315;7625994959;37886085992;38766907895;8788811813;47148167569;38766907895;77533815790;85034253561;16414806772;9,7093;9,7298;94,2714;94,6686;0,2319;0,116;0,116
SAU;SaudiArabia;0;2010;5,548;44163,13;45074,79;1,22E+18;24,4309;11,0144;58,3842;21,365;1,66E+11;84860589753;44952179614;45393708471;55813245235;44952179614;89904359228;1,41E+11;2,11E+11;10,6956;10,7161;114,3968;114,8343;0,0739;0,0369;0,0369
SEN;Senegal;0;2010;;2137,95;2182,08;27614000000;22,2043;12,0819;20,4555;19,65;1452374839;467257905;665185858;2149633857;2522217228;665185858;1330371716;2989475133;3602008696;7,6676;7,688;58,7921;59,1059;0,0482;0,0241;0,0241
SRB;Serbia;0;2010;20;12110,08;12360,07;88300000000;18,5854;13,6432;23,6791;22,317;407045995;6091928845;5844324067;2640610723;10497176505;5844324067;11688648134;16589105350;3047656718;9,4018;9,4222;88,3937;88,7784;0,1324;0,0662;0,0662
SGP;Singapore;1;2010;2,175;70657,26;72115,84;3,59E+11;26,1275;20,1761;26,0924;30,386;2,58E+11;92515713468;2,54E+11;1,96E+11;1,10E+11;2,54E+11;5,07E+11;2,03E+11;4,54E+11;11,1656;11,186;124,6705;125,1272;1,4144;0,7072;0,7072
SVK;SlovakRepublic;0;2010;14,475;24555,28;25062,17;1,32E+11;22,0635;18,8966;31,9893;37,116;3776130669;56303042049;55248399351;12719506227;36583549847;55248399351;1,10E+11;92886591896;16495636896;10,1087;10,1291;102,1855;102,599;0,8348;0,4174;0,4174
SVN;Slovenia;1;2010;7,267;28054,51;28633,64;57427000000;21,3134;17,5638;26,663;32,581;1826640922;23761208030;24151861092;4386052164;24140276243;24151861092;48303722184;47901484273;6212693086;10,2419;10,2623;104,8966;105,3156;0,8411;0,4206;0,4206
ZAF;SouthAfrica;0;2010;24,875;11815,65;12059,56;6,01E+11;19,266;13,0531;27,3813;24,403;44757661432;36939948767;38204216960;42366177738;39694620431;38204216960;76408433920;76634569198;87123839170;9,3772;9,3976;87,9315;88,3151;0,1272;0,0636;0,0636
ESP;Spain;1;2010;19,858;32251,85;32917,62;1,50E+18;23,0344;12,1595;23,8223;22,974;47691283057;1,87E+11;1,77E+11;1,06E+11;1,97E+11;1,77E+11;3,54E+11;3,85E+11;1,53E+11;10,3813;10,4018;107,772;108,1967;0,2358;0,1179;0,1179
LKA;SriLanka;0;2010;5;8164,39;8332,93;1,69E+11;23,7438;20,0026;26,6442;24,89;2605468390;5191375466;5084749095;9315853673;3001165546;5084749095;10169498190;8192541012;11921322063;9,0075;9,028;81,1357;81,5042;0,0602;0,0301;0,0301
SDN;Sudan;0;2010;13,733;4166,53;4252,54;1,67E+11;20,091;5,6214;26,9193;22,606;10416189614;1112647026;58388891;7053073474;2671529623;58388891;116777782;3784176649;17469263088;8,3348;8,3553;69,4695;69,8106;0,0007;0,0003;0,0003
SWE;Sweden;1;2010;8,575;42021,51;42888,96;3,96E+11;22,2533;16,3426;25,4361;19,883;26056916059;1,23E+11;1,18E+11;18586944027;1,22E+11;1,18E+11;2,36E+11;2,45E+11;44643860086;10,6459;10,6664;113,336;113,7714;0,5965;0,2982;0,2982
TWN;TaiwanProvinceofChina;1;2010;5,21;38592,76;39389,44;8,94E+11;;;;;1,86E+11;83503160412;2,45E+11;1,31E+11;1,13E+11;2,45E+11;4,90E+11;1,96E+11;3,17E+11;10,5608;10,5813;111,5309;111,9629;0,5477;0,2738;0,2738
THA;Thailand;0;2010;1,05;13187,95;13460,19;8,88E+11;23,9927;31,0717;40,0127;20,644;1,14E+11;79227669211;1,40E+11;1,02E+11;75677568294;1,40E+11;2,80E+11;1,55E+11;2,16E+11;9,4871;9,5075;90,0043;90,3924;0,315;0,1575;0,1575
TLS;Timor-Leste;0;2010;;6623,76;6760,5;7002000000;11,9539;0,2226;78,7502;9,301;1626282;14719385;2651038;211070517;34591134;2651038;5302076;49310519;212696799;8,7984;8,8189;77,4122;77,7722;0,0008;0,0004;0,0004
TUN;Tunisia;0;2010;13,048;10315,34;10528,28;1,09E+11;24,586;16,5284;28,9787;44,932;3039990822;12786631129;12488519645;5375320898;15170490196;12488519645;24977039290;27957121325;8415311720;9,2414;9,2618;85,4032;85,7813;0,2296;0,1148;0,1148
TUR;Turkey;0;2010;11,127;16899,77;17248,63;1,25E+18;24,8681;15,1013;24,6018;26,222;35893392813;63479536039;88541804756;53579780299;94841201067;88541804756;1,77E+11;1,58E+11;89473173112;9,7351;9,7555;94,7713;95,1695;0,1421;0,0711;0,0711
UGA;Uganda;0;2010;;1919,8;1959,43;58594000000;25,234;8,5006;18,127;7,074;1030136925;564622822;424476498;3288118506;1275303894;424476498;848952996;1839926716;4318255431;7,56;7,5804;57,1532;57,4626;0,0145;0,0072;0,0072
ARE;UnitedArabEmirates;1;2010;;56457,7;57623,16;4,67E+11;24,7212;7,9684;52,5496;29,305;1,52E+11;44958617307;50390687919;1,01E+11;62166755204;50390687919;1,01E+11;1,07E+11;2,54E+11;10,9412;10,9617;119,7109;120,1584;0,216;0,108;0,108
GBR;UnitedKingdom;1;2010;7,9;36038,36;36782,3;2,26E+18;15,3294;8,9319;17,9941;19,21;88114303327;3,24E+11;2,79E+11;1,64E+11;4,49E+11;2,79E+11;5,57E+11;7,74E+11;2,52E+11;10,4923;10,5128;110,0892;110,5184;0,2465;0,1232;0,1232
USA;UnitedStates;1;2010;9,608;48311,38;49308,67;1,50E+18;17,9834;12,0815;19,7846;18,474;6,53E+11;6,15E+11;8,62E+11;1,14E+19;7,92E+11;8,62E+11;1,72E+12;1,41E+12;1,80E+12;10,7854;10,8059;116,3253;116,7665;0,1152;0,0576;0,0576
URY;Uruguay;0;2010;7,033;16627,07;16970,3;56477000000;19,0701;13,5283;24,5289;21,413;3956257794;1454508226;1591961558;6235543518;2082006463;1591961558;3183923116;3536514689;10191801312;9,7188;9,7392;94,4548;94,8524;0,0564;0,0282;0,0282
UZB;Uzbekistan;0;2010;;4277,14;4365,43;1,19E+11;24,5859;;30,3198;37,123;6253680133;1351392045;4196482805;3304528266;2078358775;4196482805;8392965610;3429750820;9558208399;8,361;8,3815;69,907;70,2491;0,0707;0,0354;0,0354
VNM;Vietnam;0;2010;4,29;4395,52;4486,26;3,82E+11;32,644;12,9464;32,1319;21,41;30980744526;39840036320;46195936920;60510455250;22588723840;46195936920;92391873840;62428760160;91491199776;8,3883;8,4088;70,3643;70,7075;0,2418;0,1209;0,1209
ZMB;Zambia;0;2010;;3197,41;3263,42;44498000000;25,8947;7,5783;32,2389;8,776;4904206432;2288245860;705110716;4689801007;629546652;705110716;1410221432;2917792512;9594007439;8,0701;8,0905;65,1265;65,4567;0,0317;0,0158;0,0158
ZWE;Zimbabwe;0;2010;;1633,34;1667,06;20155000000;20,1984;10,933;24,1751;9,439;2446387069;723225132;754634194;3388160612;403789112;754634194;1509268388;1127014244;5834547681;7,3984;7,4188;54,7361;55,0388;0,0749;0,0374;0,0374
